Frequency (Hz);"Trace 1: Gain: Real ";"Trace 1: Gain: Imaginary ";Trace 1: Gain: Magnitude (dB);"Trace 2: Gain: Real ";"Trace 2: Gain: Imaginary ";Trace 2: Gain: Phase (°)
10;-5.397767052414408;-2.3283963801493313;15.385400401855842;-5.397767052414408;-2.3283963801493313;-156.66642545614872
10.592537;-3.6214893793463947;-2.618852505493341;13.0045577793219;-3.6214893793463947;-2.618852505493341;-144.1277132010427
11.220185;-3.4160398350513055;-2.1370760934685946;12.104903407867232;-3.4160398350513055;-2.1370760934685946;-147.96988362439802
11.885022;-3.1866826801070527;-1.7373894930104778;11.197001456845666;-3.1866826801070527;-1.7373894930104778;-151.40064180035358
12.589254;-2.95380445922013;-2.147622831260348;11.250661163229205;-2.95380445922013;-2.147622831260348;-143.98022162726141
13.335214;-2.596828796491737;-2.036747409177086;10.371020427483408;-2.596828796491737;-2.036747409177086;-141.89216437498894
14.125375;-2.7503749709183;-2.2072342993459966;10.94696279136179;-2.7503749709183;-2.2072342993459966;-141.2522172509562
14.962357;-2.7567750369549606;-2.625513536881039;11.611621858478777;-2.7567750369549606;-2.625513536881039;-136.39703388049202
15.848932;-2.511297413751617;-2.0531880890577927;10.221063884778856;-2.511297413751617;-2.0531880890577927;-140.73123288633172
16.78804;-2.4149693724974863;-1.9902603713957971;9.909252188584487;-2.4149693724974863;-1.9902603713957971;-140.5068766149382
17.782794;-2.6383726754785695;-2.3037480664458156;10.887831670704466;-2.6383726754785695;-2.3037480664458156;-138.87351107954726
18.836491;-2.6526187104008363;-1.7331734830903691;10.01745666351652;-2.6526187104008363;-1.7331734830903691;-146.8401194247737
19.952623;-2.628694725571319;-2.196748433771395;10.695104660785894;-2.628694725571319;-2.196748433771395;-140.11515987782113
21.13489;-3.1753501150204926;-2.0073165982705343;11.495937465047732;-3.1753501150204926;-2.0073165982705343;-147.70072731101646
22.387211;-3.3814954656984852;-1.6976706395483634;11.558398057215912;-3.3814954656984852;-1.6976706395483634;-153.3411847647799
23.713737;-2.734702959075879;-2.459720652237603;11.312601099310413;-2.734702959075879;-2.459720652237603;-138.03029436292553
25.118864;-3.133394490960503;-2.0993228062704143;11.5306196166192;-3.133394490960503;-2.0993228062704143;-146.1785647658323
26.607251;-3.2906105699104926;-2.010151852491888;11.722767491169854;-3.2906105699104926;-2.010151852491888;-148.58028361465003
28.183829;-3.1647227212156284;-2.216634628938932;11.740289429335842;-3.1647227212156284;-2.216634628938932;-144.99183808028457
29.853826;-3.6117509075718783;-1.7260382965687409;12.047696575641428;-3.6117509075718783;-1.7260382965687409;-154.45709003241524
31.622777;-3.570441968093412;-2.3396935795488845;12.606013307787459;-3.570441968093412;-2.3396935795488845;-146.76336588070185
33.496544;-2.8374290124225534;-2.1754946554320336;11.066593015919185;-2.8374290124225534;-2.1754946554320336;-142.52213649577237
35.481339;-4.500508819225333;-2.983295595962563;14.647075676210656;-4.500508819225333;-2.983295595962563;-146.46041313460188
37.58374;-3.27085666531679;-3.0177360738515584;12.967799853636262;-3.27085666531679;-3.0177360738515584;-137.30495402215274
39.810717;-8.809634308506624;-0.7284162057817485;18.928747786794872;-8.809634308506624;-0.7284162057817485;-175.2733051687693
42.16965;-0.9266185620291404;-6.608464000003688;16.48656775693867;-0.9266185620291404;-6.608464000003688;-97.98180051321147
44.668359;-10.534884660118019;-15.365611858326373;25.40436874403658;-10.534884660118019;-15.365611858326373;-124.43509620991989
47.315126;-1.709677167800052;-0.09046833841919086;4.670425684881997;-1.709677167800052;-0.09046833841919086;-176.97099299671166
50.118723;-2.124056917085306;1.6292236116136103;8.552760380055348;-2.124056917085306;1.6292236116136103;142.51057182175882
53.088444;-1.2677741704723293;-1.3240968031017304;5.264017920756886;-1.2677741704723293;-1.3240968031017304;-133.75513041946263
56.234133;-7.0601523820436;-0.9082229472942138;17.04756223269847;-7.0601523820436;-0.9082229472942138;-172.66968893392257
59.566214;-5.436115861692591;-10.010367996200673;21.13136897812673;-5.436115861692591;-10.010367996200673;-118.50410868961124
63.095734;-5.446643238838191;-0.3475621973200752;14.740227129171139;-5.446643238838191;-0.3475621973200752;-176.34878175298968
66.834392;-1.391371180194762;-0.5771731256326009;3.558426453911419;-1.391371180194762;-0.5771731256326009;-157.47018927473485
70.794578;-1.380170155204565;-10.877756469160618;20.800144923150512;-1.380170155204565;-10.877756469160618;-97.23105273652612
74.989421;-2.300889817286212;-2.503648785013545;10.63046156317332;-2.300889817286212;-2.503648785013545;-132.58346330833447
79.432823;5.958603796299802;-4.37895290812112;17.378299972739836;5.958603796299802;-4.37895290812112;-36.31201005834646
84.139514;-0.30082812308408985;-1.179432816670797;1.707190473798237;-0.30082812308408985;-1.179432816670797;-104.308870371335
89.125094;0.22764686485158536;-1.7741949150901375;5.050944246766221;0.22764686485158536;-1.7741949150901375;-82.68833169022663
